年,月,日,品目コード,品目名,価格,文字数,種類
2021,12,17,30100,だいこん,0.8181857341452429,4.0,0
2021,12,17,30200,かぶ,0.9939301012642214,2.0,0
2021,12,17,30300,にんじん,1.1332733547286866,4.0,0
2021,12,17,30400,ごぼう,1.0780042465645032,3.0,0
2021,12,17,30500,たけのこ,1.2302842342701883,4.0,4
2021,12,17,30600,れんこん,1.1783701183961528,4.0,0
2021,12,17,31100,はくさい,0.6505682598627385,4.0,1
2021,12,17,31300,みずな,0.9504449677458208,3.0,1
2021,12,17,31500,こまつな,1.194206295886539,4.0,1
2021,12,17,31560,ちんげんさい,1.009245599724293,6.0,1
2021,12,17,31700,キャベツ,0.7218558745485086,4.0,1
2021,12,17,31800,ほうれんそう,0.7627330636419457,6.0,1
2021,12,17,31900,ねぎ,0.9435812730188188,2.0,1
2021,12,17,32300,ふき,0.8057685316620076,2.0,1
2021,12,17,32400,うど,0.7765618456676282,2.0,1
2021,12,17,32500,みつば,1.3319126272362316,3.0,1
2021,12,17,32600,しゅんぎく,0.884625310075653,5.0,1
2021,12,17,32800,にら,1.1553460031916436,2.0,1
2021,12,17,32900,セルリー,0.8184859172721852,4.0,1
2021,12,17,33100,アスパラガス,1.2330861407065878,6.0,1
2021,12,17,33200,カリフラワー,0.9934765938618074,6.0,1
2021,12,17,33300,ブロッコリー,0.8882327027054246,6.0,1
2021,12,17,33400,レタス,1.2580671418285037,3.0,1
2021,12,17,33600,パセリ,1.1531466261128105,3.0,1
2021,12,17,34100,きゅうり,1.040084883981104,4.0,2
2021,12,17,34200,かぼちゃ,1.2197138264696734,4.0,2
2021,12,17,34300,なす,1.1767744392270836,2.0,2
2021,12,17,34400,トマト,0.871722897866333,3.0,2
2021,12,17,34450,ミニトマト,0.8719130418503966,5.0,2
2021,12,17,34500,ピーマン,1.0975849318879949,4.0,2
2021,12,17,34600,ししとう,1.4189577031935732,4.0,2
2021,12,17,34700,スイトコーン,1.3147999767996237,6.0,2
2021,12,17,35100,さやいんげん,0.9565547501524324,6.0,2
2021,12,17,35200,さやえんどう,0.7868343342786618,6.0,2
2021,12,17,35300,実えんどう,0.9897744572894642,5.0,2
2021,12,17,35400,そらまめ,1.3306904982901997,4.0,2
2021,12,17,35500,えだまめ,1.3726955001005008,4.0,2
2021,12,17,36100,かんしょ,1.0203773851994111,4.0,0
2021,12,17,36200,ばれいしょ,1.099061733491034,5.0,0
2021,12,17,36300,さといも,1.1067805036338998,4.0,0
2021,12,17,36500,やまのいも,1.1535102573227165,5.0,0
2021,12,17,36610,たまねぎ,1.1519067091212,4.0,1
2021,12,17,36700,にんにく,1.0978202859706685,4.0,1
2021,12,17,37200,しょうが,1.0329123525182593,4.0,4
2021,12,17,38100,生しいたけ,1.0016518741511786,5.0,3
2021,12,17,38300,なめこ,0.9491079822535392,3.0,3
2021,12,17,38400,えのきだけ,1.0335169031094724,5.0,3
2021,12,17,38500,しめじ,1.0189425656185649,3.0,3
2021,12,17,40100,みかん,1.0728656018549958,3.0,6
2021,12,17,41201,ネーブル,0.9308691392975827,4.0,6
2021,12,17,41253,甘なつみかん,1.034068136272545,6.0,6
2021,12,17,41301,いよかん,1.0809061488673135,4.0,6
2021,12,17,41321,はっさく,1.0773824642700054,4.0,6
2021,11,22,42204,つがる,1.1968372051258205,3.0,5
2021,12,17,42505,ジョナゴルド,1.0741142664723733,6.0,5
2021,12,17,42515,王林,1.1580500816474684,2.0,5
2021,12,17,42804,ふじ,1.0747452176170875,2.0,5
2021,11,8,43203,幸水,0.8204545454545454,2.0,5
2021,10,29,43205,豊水,0.8270542061230547,2.0,5
2021,11,8,43302,二十世紀,4.1771743907799,4.0,5
2021,11,29,43310,新高,1.3129937906661744,2.0,5
2021,12,17,43499,西洋なし,1.4094668323593305,4.0,5
2021,12,17,43700,甘がき,1.278250715925013,3.0,4
2021,12,17,43751,渋がき,1.503579271200054,3.0,4
2021,12,16,44100,もも,2.8088316875624098,2.0,5
2021,11,6,44700,すもも,0.4761903482827875,3.0,5
2021,10,18,45202,デラウェア,0.949078082703683,5.0,4
2021,12,17,45206,巨峰,1.393213187210516,2.0,4
2021,12,17,45700,くり,0.6503088438721345,2.0,4
2021,12,17,46100,いちご,0.9830385683624174,3.0,5
2021,12,17,47200,温室メロン,1.3783322033063918,5.0,2
2021,12,17,47213,アンデス,1.3047909643565334,4.0,2
2021,12,17,48100,すいか,1.0581902948104622,3.0,2
2021,12,17,49300,キウイフルツ,0.9164659368711692,6.0,4
2021,12,17,50100,バナナ,0.9591745063238812,3.0,4
2021,12,17,50300,パイナップル,0.9972315861444324,6.0,4
2021,12,17,50400,レモン,1.278617685082971,3.0,6
2021,12,17,50500,グレプフルツ,1.22081403051576,6.0,6
2021,12,17,50600,オレンジ,0.9594665543591344,4.0,6
2021,12,17,50700,輸入おうとう,1.0444529546927472,6.0,5
2021,12,17,50800,輸入キウイ,0.9176785398732736,5.0,4
2021,12,17,50850,輸入メロン,1.0648695478120742,5.0,2
